"дотнетаджия","","Програмист, който използва предимно програмните езици, включени в Microsoft Visual Studio","Абе, някой <mark>дотнетаджия</mark> ползва ли смешката, наречена Арт оф Тест, дето май Тилириците си продадоха половината гъз да ги купят?"
"дъмпвам","","Записвам във файл или изписвам в софтуерна конзола обект/променлива","Трябва ли да рестартирам MYSQL сървъра преди <mark>дъмпване</mark>, че да няма никакви отворени таблици, трябва ли да спирам апачето и да го пускам накрая?"
"евент","ивент","Събитие","Ние се опитваме да те въведем в концепцията за асинхронно изпълнение, обещания и <mark>евенти</mark>, а ти ни се караш."
"едитвам","","Редактирам (от английски \"edit\")","... , и ше преебем разни типове като VLC така че горе дясно да не излиза трей-икона а гадния лузър ше трябва да бърка в гъза на десктопа и да <mark>едитва</mark> конф файлове и да си сваля утилки за тва, хаха! дееби тъпаците, подай джойнта *пфф-пффф кх-кхъ-кхъ*"
"епълджийница","","Американската софтуерна компания Apple Inc.","Имам акции на <mark>епълджийницата</mark> да - макбук про, два айпада и айфон, както и книги за програмиране и ползване на софта им за мюзик продукция."
"икспандвам","експандвам","Разширявам (от английски \"expand\")","Аз си самозадоволявам духовните нужди и си <mark>експандвам</mark> духовните хоризонти, правейки първи плахи стъпки в жанра поп шлагер с хор на три гласа."
"индексирам","","Добаям индекси към таблица в база с данни или към масив","Стига с това SEO де. То верно Гугуля <mark>индексира</mark> яко клуба, ама се оливаш."
"инклудвам","","Вмъквам (от английски \"include\")","<mark>Инклудвам</mark> файл news.php в index.php.
Когато прегледам след това source в интернет на index.php виждам, че се дублират тези кодове"
"ирейзвам","","Изтривам (от английски \"erase\")","Аз имам същия проблем, но с LG записфачка. 8х4х32 е и имам 10 RW диска, които на други места ги трия (<mark>ирейзвам</mark>), а вкъщи не мога. Help!"
"кликам","","Натискам, обикновено бутон (от английски \"click\")","При по-долу преправения код имам следния проблем: трябва да <mark>кликна</mark> два пъти върху бутона за да заработи."
"комбо","комбобокс, комбо-бокс","Падащо меню (от английски \"combobox\")","Подаваш IStream на IBrowser2 и - voila - <mark>комбо-бокса</mark> ти е запълнен. Ура!"
"коментирам","коментвам","Правя неактивен част от програмния код, като го ограждам с тагове за коментар",""
"крон работник","","Служител с регулярно работно време (от английски \"crontab\")",""
"кюейка","","Служителка в отдела за въпроси о отговори (Q&A)","Ах майкати да еба проста да еба Прост си като <mark>кюейка</mark> от ментормейта"
"кюъри","","Заявка (от английски \"query\")","И най-големите майстори, които съм виждал, оставят тези неща само на администратор (с тайната надежда, че така ще се ползват рядко, защото едно <mark>кюъри</mark> за оборотка от 200-300к записа може да спре тока на ДБто) "
"логвам","","Влизам в система","Нямам намерение да се <mark>логвам</mark> и да им чета простотиите. Ако не можете да ми дадете нещо конкретно - няма нужда да серете пост след пост. "
"марджин","маргин","Външно отстояние на HTML или друг елемент (от английски \"margin\")",""
"облак","","Сървър за изчисления в облак","Аз лично архивирам от години по сървъри и в последните години един архив и в <mark>облак</mark>. "
"окласявам","","Премествам функция от програмния код в обектен клас","Ти да не си джавар? Само джавар ще <mark>окласи</mark> две функции на кръст."
"ОС","ос","Операционна система","Това, което е интересно за мен в тая работа е думичката real-time. Иначе съвсем не е първата графична <mark>ос</mark>, дето се събира на една дискета. "
"оффлайн","офлайн","Софтуерно приложение, което работи без интернет достъп","Между другото по т.3) знам един мноо готин пас генератор <mark>оффлайн</mark>. Замижаваш, и с резки и бързи движения почваш бесно да тропаш по клавиатурата."
"оффлайн","офлайн","Без интернет достъп","Бях <mark>офлайн</mark> по независещи от мен причини само около няколко часа, после 3 дни ме мързя да си довлека компа до кабела."
"падинг","паддинг","Вътрешно отстояние на HTML или друг елемент (от английски \"padding\")","Изглеждат по един и същ начин на дисплеите, но на малките вземат по 2-3 екрана за няколко текстови полета, защото в старите версии има доста неща, които са неуправляеми, като дифолтнат <mark>падинг</mark> за извивките на ъглите."
"парсвам","","Разчитам. Превръщам в друг формат","Отделно, за да <mark>парсна</mark> json текст трябваше да дърпам някакви nuget пакети, които ядат рам като ламя и не дикодват фрийстайл стрингове..."
"ПеЦе","комп, писи","Персонален компютър","...тъй че за сега убиеца на виндовс още не се вижда. а тия чекии по телефоните и как след 20 години сичко ще е мобайл и <mark>пецето</mark> ше умре - да ме фанат за кура."
"пингвам","","Изпълнявам в конзола командата ping","Като цяло това е малко безсмислено (да <mark>пингваш</mark> МАК адрес). След като можеш да <mark>пингнеш</mark> и <mark>пингваш</mark> IP адреса на някой хост, то значи че е достъпен и МАК адреса му"
"плюя","","Връща резултат. Използва се за функции","С разрастването на екипа и влагането на тонове усилия екипна работа за прилагането на тлъсти дизайн патърни се стигна до създаването на клас фактори, което създава друго клас фактори, което създава трето клас фактори, което после <mark>плюе</mark> обект с леко неимплементирани методи :D"
"по дифолт","","По подразбиране (от английски \"by default\")",""
"портвам","","Правя възможно за ползване от нещо (от английски \"port\")","Още повече, че OS X вече е доста сериозен играч и голяма част от софтуера, който излиза за джамците, се <mark>портва</mark> и за OS X."
"пропърти","","Свойство (от английски \"property\")","Освен това тоя fileRef трябва да стане <mark>пропърти</mark> на обекта. Мдаа, и FileReader също."
"разкоментирам","разкоментвам","Правя активен програмен код, който е бил ограден с тагове за коментар",""
"рам","РАМ","Random-access memory (RAM)","Аз имах едно лаптопче с 256 <mark>РАМ</mark> купувано преди 7-8 год. Като го купих си вървеше като пушка. ;)"
"рейзвам","","Извиквам. Използва се за иницииране на грешка или програмно изключение (от английски \"raise\")","Най-вероятната причина е ексепшън, а програмата ти си бачка и е риспонзив, защото по дифолт System.Timers.Timer Elapsed ивента се <mark>рейзва</mark> в друг тред."
"ризолва","","Открива. Използва се за DNS сървър или domain name (от английски \"resolve\")","И не ми <mark>резолва</mark> домейна. Ще опитам пак."
"римуут","римут","С отдалечен достъп (от английското \"remote\")",""
"рутирам","руутвам","Препращам (от английски \"route\")",""
"сикюрити","","Сигурност (от английското \"security\")",""
"синиър","","Старши програмист","Обикновенно се подхожда пламенно и ентусиазирано (голяма грешка), следва неизбежния етап на охлаждането, после е оглеждането/ослушването/подмазването/натъманяването... Едва тогава човек става продуктивен, демек - <mark>синиър</mark>."
"скейлвам","скалирам","Уголемявам. Развивам. (от английски \"scale\")","Най-лесния начин за <mark>скейлване</mark> е да го хостне някъде, къде има инфраструктурата да се <mark>скейлва</mark> автоматично според деманда, за LAMP хостинг, на каквото предполагам работи старата и новата мама"
"слуша","","Приема заявки. Използва се за сървърен софтуер (от английски \"listen\")",""
"сорскод","сорс код, сорс-код, сорс, кодец","Програмен код","Да са излишни, да са излишни, колко пък да са излишни? Я върви виж <mark>сорса</mark> на линукс."
"софтуер","софт","Програмен продукт","Аз номинирам за як Линукс <mark>софт</mark> Swift. Нищо, че не е безаналогово уникален за Линукс."
"съпорт","","поддръжка (от английски \"support\")","говоря ти всичко дето е ай ти - <mark>съпорт</mark>, <kref idref=\"кюейка\">кюей</kref>, администратори и всичко средната заплата в България определено не е 3бона чисти, по скоро истината е 1,5-2бона"
"тестър","тестърче","Служител, който се занимава с тестване на готовия софтуер","За толкова години в бранша не можа да проумееш, че <kref idref=\"кюейка\">QA</kref> е нещо различно от валидатор (както им казват в JCI или <mark>тестър</mark>, по народному)."
"тл","ТЛ","Ръководител на екип (от английски (TL - Team Leader)","Еми аз не съм <mark>тл</mark> ама пак ги интервюирам и давам препоръки ама тука са решили, че трябва да са минимум дот нет нинджа за да може да им се работи във фирмата."
"трейсвам","","Изпълнявам в конзола командата tracert/traceroute","Следващия път кат се опитаваш да <kref idref=\"логвам\">логнеш</kref> некво скапани логове с зловредно съдържание напрао те <mark>трейсвам</mark> и ти откинвам главата до кръста"
"уебаджия","","Програмист, който се занимава предимно с правене на уеб сайтове и уеб прилогения","Кажи моля те как се ползват, защото някои сме <mark>уебаджии</mark> и не вдяваме."
"флаш","","Adobe Flash","Нищо му няма на <mark>Флаша</mark>, че и на Сафарито нищо, а с Хром най-добре."
"хелпвам","","Помагам (от английски \"help\")","А сега по темата, ако някой все още иска да <mark>хелпне</mark>.Прочетох по темата.Видях си и грешката."
"це","","Програмният език C","Шаваскрипта е сериозен език - лисп в гащи на <mark>це</mark> (фразата не е моя)."
"циклене","","Изпълнение на програмен цикъл","Не намираше ли прости числа с <mark>циклене</mark>?"
"цъмес","","Система за управление на съдържание (Content Management System - CMS)",""
"шаваскрипт","","Програмният език Javascript","Холи мада нейча, не можаха ли да портнат поне монго към това, бездруго само на <mark>шаваскрипт</mark> се пише."
"шефче","","Началник","Този път съм <mark>шефче</mark> на горско ручейче - направих си собствена фирмичка. Вече съм негър на тръстиката, надзирател и плантатор, едновременно."
"ябълки(те)","ябълка(та)","Американската софтуерна компания Apple Inc.","Е нали <mark>ябълките</mark> ги бяха 'забранили' в Китай и понеже те им били най-якия пазар и щели да се срутят?"
"ябълско","","На американската софтуерна компания Apple Inc.","Откакто съм ябълско <mark>зомби</mark> се чудя за къв са тия нивелири след като един прост айфон върши работа"
"яйчар(ка)","","HR специалист(ка)","Айде сега пак почна с трибуквените съкращения като <mark>яйчарките</mark>. Абе ти <mark>яйчарка</mark> ли си верно?"
